,Y2021
Afghanistan,622300.0
Albania,0.0
Algeria,305.92
Angola,10514.0
Antigua and Barbuda,0.0
Azerbaijan,10062.3
Argentina,1453187.0
Australia,422977.54
Austria,0.0
Bahamas,0.0
Bahrain,0.0
Bangladesh,56383442.0
Armenia,0.0
Barbados,0.0
Belgium,0.0
"Micronesia, Fed. Sts.",178.95
Bhutan,40507.9
Bolivia,550181.52
Bosnia and Herzegovina,0.0
Botswana,0.0
Brazil,11660605.0
Belize,14990.0
Solomon Islands,2748.41
Brunei Darussalam,4100.0
Bulgaria,58120.0
Myanmar,27438300.0
Burundi,120000.0
Belarus,0.0
Cambodia,12207000.0
Cameroon,315293.74
Canada,0.0
Cabo Verde,0.0
Central African Republic,50265.0
Sri Lanka,5149596.0
Chad,242646.7
Chile,146085.1
China,212843000.0
Taiwan,1560870.0
Colombia,2980100.0
Comoros,4.0
Congo Republic,1000.0
DR Congo,1580620.0
Cook Islands,0.0
Costa Rica,198196.7
Croatia,0.0
Cuba,225786.0
Cyprus,0.0
Czechia,0.0
Benin,519666.84
Denmark,0.0
Dominica,0.0
Dominican Republic,1105600.0
Ecuador,1207000.0
El Salvador,19145.98
Equatorial Guinea,0.0
Ethiopia,200000.0
Eritrea,0.0
Estonia,0.0
Faroe Islands,0.0
Fiji,10367.75
Finland,0.0
France,62340.0
French Polynesia,0.0
Djibouti,0.0
Gabon,1737.62
Georgia,0.0
Gambia,40173.0
Palestine,0.0
Germany,0.0
Ghana,1143000.0
Kiribati,0.0
Greece,245340.0
Grenada,0.0
Guatemala,24143.0
Guinea,2475325.0
Guyana,860000.0
Haiti,155000.0
Honduras,53820.14
Hong Kong,0.05
Hungary,9520.0
Iceland,0.0
India,194200000.0
Indonesia,54415294.22
Iran,1595344.62
Iraq,422463.0
Ireland,0.0
Israel,0.0
Italy,1459310.0
Cote d'Ivoire,1659000.0
Jamaica,0.0
Japan,10525400.0
Kazakhstan,503771.3
Jordan,0.0
Kenya,186000.0
North Korea,2100000.0
South Korea,5211037.0
Kuwait,0.0
Kyrgyz Republic,46338.0
Laos,3494890.0
Lebanon,0.0
Lesotho,0.0
Latvia,0.0
Liberia,255600.0
Libya,0.0
Lithuania,0.0
Luxembourg,0.0
Macau,0.0
Madagascar,4391386.0
Malawi,155000.0
Malaysia,2441597.0
Maldives,0.0
Mali,2420245.0
Malta,0.0
Mauritania,428400.0
Mauritius,0.0
Mexico,257041.44
Mongolia,0.0
Moldova,0.0
Montenegro,0.0
Morocco,50900.7
Mozambique,390000.0
Oman,0.0
Namibia,0.0
Nauru,0.0
Nepal,5130625.0
Netherlands,0.0
New Caledonia,0.0
Vanuatu,0.0
New Zealand,0.0
Nicaragua,492028.49
Niger,134000.0
Nigeria,8342000.0
Niue,0.0
Norway,0.0
"Micronesia, Fed. Sts.",178.95
Marshall Islands,0.0
Pakistan,13984009.0
Panama,406370.0
Papua New Guinea,882.2
Paraguay,1180600.0
Peru,3538443.59
Philippines,19960170.2
Poland,0.0
Portugal,175900.0
Guinea-Bissau,213918.0
Timor-Leste,45455.0
Puerto Rico,166.54
Qatar,0.0
Romania,14980.0
Russia,1076411.5
Rwanda,131758.0
St. Kitts and Nevis,0.0
St. Lucia,0.0
St. Vincent and the Grenadines,0.0
Sao Tome and Principe,0.0
Saudi Arabia,814.0
Senegal,1382119.93
Serbia,0.0
Seychelles,0.0
Sierra Leone,1978905.17
Singapore,0.0
Slovakia,0.0
Vietnam,43852728.69
Slovenia,0.0
Somalia,1632.35
South Africa,3081.02
Zimbabwe,2908.0
Spain,617180.0
South Sudan,26024.0
Sudan,40000.0
Suriname,263749.0
Eswatini,1000.0
Sweden,0.0
Switzerland,0.0
Syria,0.0
Tajikistan,106907.56
Thailand,32977775.0
Togo,165541.0
Tokelau,0.0
Tonga,0.0
Trinidad and Tobago,351.1
United Arab Emirates,0.0
Tunisia,0.0
Türkiye,1000000.0
Turkmenistan,86213.62
Tuvalu,0.0
Uganda,727120.0
Ukraine,49480.0
North Macedonia,18962.0
Egypt,4241894.0
United Kingdom,0.0
Tanzania,4045400.0
United States,8689970.0
Burkina Faso,451014.0
Uruguay,1309000.0
Uzbekistan,334226.0
Venezuela,743571.44
Samoa,0.0
Yemen,0.0
Zambia,65875.83
